Centroid X,Centroid Y,Transitions,Aspect Ratio
2641,185,101,3.6842105263157894
2516,244,73,11.27027027027027
2638,244,33,5.675675675675675
159,296,136,5.114754098360656
489,299,77,4.836065573770492
179,339,227,5.473684210526316
422,340,288,5.175438596491228
1006,293,86,7.733333333333333
1370,315,0,5.116666666666666
968,352,54,8.0
1337,339,83,5.293103448275862
151,437,0,2.5677966101694913
455,437,0,2.5762711864406778
151,555,0,2.546218487394958
455,555,0,2.5546218487394956
764,465,44,1.6696428571428572
877,423,245,5.214285714285714
708,561,252,1.496
817,512,57,4.672
1518,271,63,13.238095238095237
1863,275,0,13.904761904761905
1511,288,43,19.857142857142858
1807,288,25,20.857142857142858
2134,269,46,20.58823529411765
2514,268,112,28.941176470588236
2124,285,143,19.444444444444443
2483,285,170,27.333333333333332
1507,307,79,10.384615384615385
1783,307,158,11.538461538461538
1521,345,219,0.9183673469387755
1780,326,161,1.0204081632653061
2155,298,173,42.0
2501,298,52,51.55555555555556
2137,459,0,1.2154340836012862
2400,315,58,1.4919614147909968
368,215,70,1.7056277056277056
427,201,65,1.2987012987012987
308,255,69,8.382978723404255
466,255,41,6.382978723404255
865,119,0,1.4411764705882353
1124,214,151,1.4327731092436975
826,260,35,8.575
1098,256,72,8.525
291,298,142,9.11111111111111
667,301,33,6.311111111111111
231,344,149,9.761904761904763
624,344,39,6.761904761904762
929,296,23,9.121212121212121
1053,293,81,11.606060606060606
948,337,49,5.574074074074074
1019,318,59,7.092592592592593
1731,138,59,2.341614906832298
1820,69,154,2.5652173913043477
1638,220,191,3.5233644859813085
2155,254,0,3.8598130841121496
2265,153,191,1.9684210526315788
2816,145,151,1.8789473684210527
2199,225,154,4.794871794871795
2731,227,143,4.576923076923077
1541,300,162,6.73015873015873
2105,304,82,5.809523809523809
1580,352,115,12.470588235294118
2034,350,115,10.764705882352942
2396,315,37,5.5423728813559325
2635,305,156,6.8474576271186445
2326,348,189,8.605263157894736
2669,336,157,10.631578947368421
162,416,122,3.7160493827160495
543,412,85,3.654320987654321
168,471,274,3.909090909090909
400,465,241,3.844155844155844
917,395,106,7.583333333333333
1329,400,76,5.433333333333334
904,474,80,4.642857142857143
1247,441,93,3.326530612244898
533,754,22,2.217741935483871
575,703,50,0.18951612903225806
525,802,51,8.461538461538462
574,804,46,0.7230769230769231
681,613,70,1.0583333333333333
800,575,213,5.45
652,723,181,0.6580310880829016
742,661,46,3.38860103626943
1448,370,37,19.818181818181817
1671,370,33,14.181818181818182
1490,382,35,16.76923076923077
1663,382,53,12.0
1882,369,51,30.11111111111111
2198,369,83,97.33333333333333
1854,381,41,18.066666666666666
2113,378,136,58.4
1475,399,15,7.428571428571429
1633,398,98,10.380952380952381
1459,426,115,0.36619718309859156
1577,412,32,0.5117370892018779
1800,394,12,8.9
1885,393,23,105.8
1790,403,62,0.2036613272311213
1878,406,62,2.4210526315789473
304,70,59,3.847058823529412
374,48,88,3.7058823529411766
244,115,80,5.274193548387097
369,117,37,5.080645161290323
743,86,35,4.221052631578948
1159,62,168,4.231578947368421
759,122,42,7.711538461538462
1104,120,113,7.730769230769231
191,188,77,4.287878787878788
347,176,87,5.4393939393939394
154,236,132,4.564516129032258
613,247,29,5.790322580645161
678,169,30,6.186046511627907
1042,165,102,12.488372093023257
654,204,37,3.1294117647058823
970,231,58,6.317647058823529
1775,56,124,3.8
2027,52,0,3.4857142857142858
1685,139,65,5.955223880597015
2184,149,17,5.462686567164179
2264,78,98,3.5849056603773586
2837,75,105,2.811320754716981
2227,122,50,5.757575757575758
2760,140,71,4.515151515151516
1624,201,63,6.607142857142857
2138,199,59,7.053571428571429
1573,254,63,7.872340425531915
2095,255,54,8.404255319148936
2640,220,0,7.483333333333333
2703,198,106,3.816666666666667
2598,257,76,10.44186046511628
2734,259,35,5.325581395348837
187,298,119,7.7555555555555555
511,303,59,6.977777777777778
231,337,214,3.4554455445544554
463,337,271,3.108910891089109
980,309,95,7.032258064516129
1417,321,26,5.580645161290323
960,379,62,5.190476190476191
1365,353,88,4.119047619047619
628,659,0,2.556
650,639,21,0.096
628,689,26,12.529411764705882
650,700,26,0.47058823529411764
757,533,46,0.9485294117647058
865,489,171,4.801470588235294
719,631,209,0.7818181818181819
811,579,51,3.9575757575757575
1610,284,126,16.15
1981,287,21,15.6
1625,303,58,17.944444444444443
1921,303,75,17.333333333333332
2305,286,43,19.047619047619047
2619,285,80,19.428571428571427
2280,305,69,23.529411764705884
2664,304,90,24.0
1629,324,83,13.565217391304348
1890,324,123,14.043478260869565
1554,349,199,0.8082901554404145
1913,347,196,0.8367875647668394
2208,320,68,16.333333333333332
2514,319,197,37.53333333333333
2168,337,181,0.6218274111675127
2453,342,115,1.4289340101522843
417,88,56,4.303921568627451
503,57,132,2.5098039215686274
343,145,124,5.289156626506024
475,138,75,3.0843373493975905
837,120,20,3.314516129032258
1231,84,254,1.782258064516129
891,158,95,6.737704918032787
1175,150,116,3.622950819672131
226,224,102,4.230769230769231
441,227,109,4.67948717948718
184,295,137,5.593220338983051
640,294,51,6.186440677966102
740,208,46,5.688888888888889
1082,208,117,8.355555555555556
794,266,42,2.782608695652174
1005,255,136,4.086956521739131
1706,108,12,3.398230088495575
1779,59,138,3.4070796460176993
1642,167,100,3.9183673469387754
1716,117,14,3.9285714285714284
2233,136,93,2.4060606060606062
2785,146,91,2.0303030303030303
2169,188,53,8.630434782608695
2730,187,122,7.282608695652174
1549,243,123,5.84375
2075,259,12,6.171875
1475,300,85,7.957446808510638
2039,299,58,8.404255319148936
2119,230,63,8.018867924528301
2666,237,139,5.7924528301886795
2364,316,6,7.327586206896552
2631,293,157,5.293103448275862
179,341,123,8.68421052631579
473,343,103,7.526315789473684
186,374,182,2.5
443,379,265,2.1666666666666665
842,355,105,5.138888888888889
1172,367,66,4.736111111111111
906,448,95,3.7755102040816326
1236,412,96,3.479591836734694
520,719,31,2.1468253968253967
577,661,74,0.2976190476190476
497,793,99,6.011111111111111
579,782,81,0.8333333333333334
693,568,72,1.1401869158878504
811,533,202,5.5046728971962615
669,684,167,0.5191489361702127
760,621,54,2.5063829787234044
1498,333,95,14.666666666666666
1748,335,11,16.523809523809526
1489,351,84,17.11111111111111
1793,352,86,19.27777777777778
2050,332,58,17.61904761904762
2526,332,104,22.666666666666668
2170,353,52,20.555555555555557
2549,351,82,26.444444444444443
1544,370,84,17.05
1832,371,105,15.7
1454,399,186,0.7527593818984547
1817,388,196,0.6931567328918322
2139,368,93,19.466666666666665
2488,367,107,36.93333333333333
2108,383,214,0.6375545851528385
2462,390,155,1.2096069868995634
297,153,47,1.920731707317073
356,135,77,1.920731707317073
246,188,73,6.428571428571429
345,189,35,6.428571428571429
690,164,26,2.2588235294117647
1147,140,129,2.1470588235294117
670,191,38,8.930232558139535
1091,192,96,8.488372093023257
227,238,120,6.804347826086956
563,240,27,6.891304347826087
161,276,128,7.113636363636363
579,281,48,7.204545454545454
643,226,32,9.764705882352942
1041,229,55,12.264705882352942
951,270,25,5.928571428571429
987,266,66,7.446428571428571
1755,67,169,3.728
2189,115,11,2.792
1642,166,86,5.614457831325301
2139,171,71,4.204819277108434
2221,104,57,3.338582677165354
2778,82,100,1.889763779527559
2201,132,19,5.234567901234568
2723,171,113,2.962962962962963
1566,235,82,8.127272727272727
2073,233,65,6.6909090909090905
1519,283,73,11.175
2056,287,79,9.2
2505,260,31,6.17741935483871
2649,245,94,4.532258064516129
2432,288,167,11.606060606060606
2694,286,158,8.515151515151516
146,334,146,5.482142857142857
490,336,72,5.303571428571429
210,377,210,3.6547619047619047
430,379,294,3.5357142857142856
964,338,79,7.253968253968254
1356,353,20,5.0476190476190474
941,403,66,5.935064935064935
1307,381,78,4.12987012987013
151,514,0,2.1267605633802815
453,514,0,2.1267605633802815
151,656,0,2.1267605633802815
453,656,0,2.1267605633802815
713,542,66,1.150375939849624
850,498,236,4.676691729323308
666,660,219,1.0132450331125828
790,608,71,4.119205298013245
1497,311,26,15.8
1717,311,4,15.6
1473,324,87,18.23076923076923
1725,324,8,18.0
2018,309,51,27.5
2345,308,80,56.5
2035,322,144,20.625
2316,322,126,42.375
1487,342,56,9.666666666666666
1729,342,129,9.958333333333334
1511,377,150,0.6236559139784946
1716,358,103,0.6424731182795699
1985,335,4,26.0
2244,334,64,100.0
1932,345,91,0.5360824742268041
2265,340,37,2.0618556701030926
332,85,93,3.3603603603603602
463,47,178,1.8108108108108107
268,170,162,3.9680851063829787
430,145,135,2.1382978723404253
765,140,41,2.8666666666666667
1131,115,191,1.8066666666666666
782,180,67,7.818181818181818
1075,174,132,4.927272727272728
117,254,121,2.4086021505376345
288,229,74,3.763440860215054
87,323,85,4.48
371,326,114,7.0
661,234,62,4.305084745762712
987,237,164,7.576271186440678
602,293,73,3.0238095238095237
883,309,77,5.321428571428571
1719,132,22,3.258992805755396
1788,97,144,1.39568345323741
1661,186,108,4.819148936170213
1736,144,24,2.0638297872340425
2237,205,16,1.5285714285714285
2261,197,36,2.3857142857142857
2226,222,8,13.956521739130435
2248,215,14,21.782608695652176
1500,292,0,3.6153846153846154
1556,265,78,6.338461538461538
1470,325,53,4.7
1518,306,24,8.24
2182,262,62,7.762711864406779
2700,264,49,6.169491525423729
2120,320,56,8.178571428571429
2640,320,60,6.5
290,357,36,21.166666666666668
480,357,51,13.11111111111111
283,374,175,3.048
471,377,159,1.888
870,385,67,3.7349397590361444
1256,423,4,4.192771084337349
776,467,113,5.166666666666667
1208,445,104,5.8
513,604,40,3.769230769230769
577,544,77,0.5454545454545454
494,679,87,6.493975903614458
578,677,77,0.9397590361445783
645,505,72,1.1025641025641026
766,530,66,7.333333333333333
661,627,85,0.581081081081081
719,584,43,3.864864864864865
1430,379,159,5.517241379310345
1733,394,8,6.741379310344827
1443,421,125,9.411764705882353
1795,424,241,11.5
2059,373,65,5.588235294117647
2578,373,69,9.27450980392157
2055,418,80,6.951219512195122
2566,419,78,11.536585365853659
1413,448,90,20.88888888888889
1768,448,46,18.61111111111111
1379,466,91,1.4517374517374517
1840,471,140,1.2934362934362935
2156,462,205,9.051282051282051
2459,460,79,10.384615384615385
2226,497,187,1.4831932773109244
2489,504,321,1.7016806722689075
319,63,56,4.2625
388,38,84,3.35
257,114,90,4.871428571428571
375,116,46,3.8285714285714287
742,93,55,3.4953271028037385
1126,82,147,3.2616822429906542
704,128,54,8.69767441860465
1066,127,87,8.116279069767442
206,189,113,4.901639344262295
383,174,61,5.081967213114754
152,233,111,6.1020408163265305
568,238,33,6.326530612244898
647,171,49,5.7727272727272725
996,167,86,10.659090909090908
620,204,32,3.8484848484848486
952,232,43,7.106060606060606
1669,98,17,3.3398058252427183
1735,65,116,3.5533980582524274
1620,140,111,5.134328358208955
1682,107,17,5.462686567164179
2189,99,96,2.5772357723577235
2739,98,74,3.4065040650406506
2127,147,58,6.74468085106383
2684,146,52,8.914893617021276
1541,195,166,6.078431372549019
2030,210,0,7.8431372549019605
1470,240,87,7.948717948717949
2006,240,29,10.256410256410257
2077,189,73,8.418604651162791
2656,195,60,8.69767441860465
2078,236,40,7.702127659574468
2586,238,88,7.957446808510638
195,275,92,10.7
452,275,85,9.666666666666666
180,304,205,3.2755102040816326
428,303,244,2.9591836734693877
953,280,85,7.6909090909090905
1305,302,23,5.418181818181818
902,354,70,5.794520547945205
1254,327,89,4.082191780821918
559,603,10,2.5286343612334803
592,573,71,0.16299559471365638
556,635,34,11.714285714285714
592,631,36,0.7551020408163265
710,477,32,1.1886792452830188
808,438,176,5.613207547169812
666,554,224,0.7411764705882353
752,509,43,3.5
1509,268,95,20.235294117647058
1867,270,5,19.0
1524,284,71,21.5
1849,284,79,20.1875
2122,270,30,20.38888888888889
2535,269,46,22.88888888888889
2177,286,18,24.466666666666665
2510,285,96,27.466666666666665
1516,302,77,16.0
1798,301,138,19.105263157894736
1471,329,158,0.8636363636363636
1776,317,124,1.03125
2156,300,86,22.6
2511,300,98,29.333333333333332
2207,314,231,0.952247191011236
2512,321,200,1.2359550561797752
338,69,69,4.146067415730337
459,36,197,2.4157303370786516
246,144,181,3.84375
420,122,135,2.2395833333333335
708,124,90,2.296551724137931
1177,124,139,3.3586206896551722
659,164,58,8.325
1121,165,105,12.175
155,226,154,3.7051282051282053
540,238,74,3.782051282051282
172,284,143,6.880952380952381
445,289,68,7.023809523809524
